midx,problem,graphID,#nodes,depth,prfV,bubble_nids
12899,29,1006,119,12,"[105, 111]",[]
34043,67,2173,142,14,[],[]
39731,78,1,358,29,"[304, 321, 338]",[211]
50458,97,3275,208,10,"[94, 105, 116, 127, 138, 149, 160]",[]
10601,24,2237,391,13,"[150, 157, 164, 256, 264, 370, 378]",[]
9982,23,1124,258,14,"[116, 124, 176, 184, 218, 226, 241, 247]",[]
20850,42,982,113,10,[],[]
29295,58,984,167,18,[],[]
30384,60,1411,157,12,"[108, 117, 126]",[]
15701,33,2978,175,14,"[83, 89, 105, 111, 127, 133, 149, 155]",[]
19901,41,1081,369,26,[],[]
29430,59,1434,283,17,[],[]
21799,44,906,280,14,"[266, 273]",[]
29047,58,347,212,20,[],[]
45115,87,845,126,16,"[112, 118]",[]
26925,54,1345,114,14,[],[]
9163,21,194,255,11,"[108, 116, 158, 171, 184, 228, 238]",[]
142,1,1574,151,12,"[133, 141]",[]
20633,42,1912,126,13,[],[]
39390,77,1429,99,11,[],[]
50725,98,1375,177,17,[],[]
12121,27,1847,430,14,"[240, 251, 274, 285, 296, 325, 342, 359, 376, 393]",[]
39056,76,39,389,14,"[351, 362, 373]",[61]
14304,30,339,83,14,[],[]
20801,42,760,283,10,"[237, 249, 261]",[]
12211,27,218,407,15,"[186, 193, 200, 241, 247, 293, 302, 311, 320, 329, 346, 353, 360]",[]
25784,51,921,349,14,"[277, 285, 324, 332]",[167]
767,10,2094,159,9,"[69, 75]",[]
49806,96,208,496,17,"[58, 68, 121, 140, 270, 278, 297, 307, 442, 450, 469, 479]",[]
36168,70,729,196,12,"[182, 188]",[]
50869,98,2284,147,13,"[66, 72, 99, 105, 123, 129]",[]
47764,92,1238,317,15,"[297, 306]",[]
12955,29,1234,162,14,"[144, 152]",[]
25254,50,55,151,13,"[94, 100, 136, 142]",[]
29654,59,365,280,18,[],[]
32507,64,2471,702,15,"[348, 386, 424, 462, 500, 538, 576, 614]",[186]
28241,56,671,139,11,"[118, 124]",[]
45411,88,1643,100,13,[],[]
48697,94,1160,180,12,"[149, 157]",[77]
6702,17,288,200,14,"[174, 181, 188]",[]
46073,89,642,124,11,[],[]
234,1,1973,176,14,"[73, 85]",[]
12061,27,1624,438,19,"[126, 133, 140, 194, 200, 240, 247, 254, 287, 312, 337, 362, 387]",[]
44544,86,493,172,14,"[150, 160]",[]
20631,42,1905,144,13,[],[]
34872,69,1243,368,13,"[309, 317, 344, 352]",[]
33401,66,1314,251,14,[],[]
33505,66,1559,294,14,[],[]
38705,75,946,228,11,"[198, 207, 216]",[]
26833,54,1046,134,13,"[43, 53]",[]
32042,63,1951,244,13,"[192, 202, 223, 233]",[]
16495,35,1693,204,13,"[164, 171, 178]",[]
4654,13,1586,101,12,"[76, 82]",[]
22804,46,637,285,12,"[106, 116, 155, 165, 204, 214, 253, 263]",[]
31769,62,88,105,13,"[93, 99]",[]
16721,35,280,261,14,"[228, 235, 242]",[]
30601,60,352,170,17,"[132, 141, 150]",[]
26602,53,402,137,11,"[41, 49, 120, 128]",[]
40300,79,1658,90,15,"[74, 82]",[]
12162,27,1997,378,18,"[189, 196, 203, 217, 223, 314, 321, 328, 343, 350, 357]",[]
11007,25,1180,147,11,[],[]
340,1,30,135,12,"[64, 70]",[]
7308,18,565,324,16,[],[]
9369,21,821,196,13,[],[]
7688,19,2700,252,15,"[153, 159, 172, 178, 201, 207, 220, 226]",[]
7861,19,609,225,13,"[177, 185, 204, 214]",[]
7911,19,84,231,14,"[159, 167, 201, 209]",[]
8353,2,835,274,11,"[175, 183, 200, 208, 256, 264]",[]
35776,70,1007,151,16,"[139, 145]",[]
12969,29,1281,153,15,"[136, 142]",[]
15041,32,1696,308,14,[],[]
37817,74,1135,283,14,"[110, 116, 196, 202]",[]
14982,32,1427,258,15,"[235, 243]",[]
50121,96,951,394,19,[],[]
23143,47,4074,164,12,"[111, 119, 145, 153]",[]
39737,78,1018,228,21,"[141, 147, 165, 171, 189, 195, 213, 219]",[]
45295,88,13,102,12,"[56, 64]",[]
13829,3,467,95,12,[],[]
40623,79,5585,158,14,"[143, 149]",[]
10222,23,577,173,12,[],[]
47428,91,477,119,10,"[69, 75, 104, 110]",[]
48465,93,2290,106,10,[],[]
13725,3,2801,98,14,[],[]
22667,46,3031,185,13,[],[]
33622,66,31,211,10,[],[]
20942,43,13,214,13,"[178, 189, 200]",[]
13955,30,1402,92,11,[],[]
35505,7,273,298,17,[],[]
47652,91,970,87,11,[],[]
42576,82,310,107,11,[],[]
15938,34,1339,92,10,[],[]
6703,17,289,268,19,"[239, 246, 253]",[]
45232,88,1109,107,13,"[89, 97]",[]
314,1,2243,180,13,"[116, 128, 153, 165]",[]
43988,85,222,194,17,[],[]
22889,47,1717,151,9,"[114, 121, 136, 143]",[]
8255,2,598,295,14,"[223, 232, 241, 275, 283]",[]
34208,67,538,88,12,[],[]
33522,66,1597,225,13,[],[]
3803,11,678,142,14,"[128, 134]",[]
13414,3,1127,115,12,[],[]
29181,58,702,180,19,[],[]
42629,82,635,118,11,"[104, 110]",[]
24415,5,1167,219,12,[],[]
22034,45,2343,118,12,"[106, 112]",[]
45332,88,141,140,14,[],[]
7324,18,609,417,14,[],[]
38855,76,1402,245,12,"[219, 226, 233]",[]
11778,26,691,98,15,"[86, 92]",[]
34158,67,318,114,11,[],[]
27563,55,218,368,12,"[268, 276, 293, 301, 354, 360]",[]
4185,12,1586,142,16,"[114, 120]",[]
23253,47,5272,130,12,"[78, 88, 109, 119]",[]
47948,92,332,279,17,[],[]
16769,35,508,205,16,"[167, 174, 181]",[]
47572,91,832,180,17,"[81, 103, 143, 160]",[]
3067,104,1234,192,12,"[122, 130, 173, 181]",[]
29884,6,1600,190,17,"[172, 180]",[]
20563,42,1679,112,11,[],[]
37370,73,1434,265,17,[],[]
41050,8,583,343,13,"[261, 280, 299]","[76, 134]"
44267,86,1240,145,14,[],[]
676,10,1740,127,9,[],[]
36993,72,2343,319,14,"[293, 300, 307]",[]
26353,53,113,202,13,"[125, 135, 181, 191]",[]
8285,2,683,259,15,"[140, 148, 165, 173, 235, 245]",[]
20758,42,603,189,14,"[145, 153, 170, 178]",[]
51328,99,1947,248,14,"[174, 180, 193, 199, 212, 218, 231, 237]",[]
43285,84,1633,119,11,"[93, 100, 107]",[]
39129,76,627,341,13,"[303, 314, 325]",[68]
28222,56,588,479,14,"[78, 88, 160, 174, 274, 292, 430, 452]",[]
20022,41,217,344,18,[],[]
29046,58,343,254,21,[],[]
43644,84,472,86,10,[],[]
41383,80,156,254,14,"[242, 248]",[]
40764,8,1119,297,15,"[185, 193, 210, 218]",[]
33396,66,130,199,10,[],[]
41581,80,671,233,11,[],[]
8963,21,1138,242,12,"[220, 228]",[74]
7912,19,842,275,12,"[218, 226, 256, 264]",[]
26747,53,805,232,16,"[141, 149, 186, 194, 212, 220]",[]
6708,17,306,281,16,[],[]
39335,77,1291,122,16,[],[]
51354,99,2072,207,9,"[133, 139, 152, 158, 171, 177, 190, 196]",[]
7597,19,2023,198,11,"[154, 162, 179, 187]",[]
49707,96,1127,602,25,"[429, 435, 497, 505, 525, 531, 558, 566, 586, 592]",[]
36758,71,951,193,16,[],[]
37010,72,2411,783,19,"[733, 748, 763]",[]
6747,17,437,172,16,[],[]
44619,86,794,270,21,[],[]
42705,83,1,289,15,"[271, 279]",[]
13539,3,1856,121,12,[],[]
18302,38,789,164,14,"[150, 156]",[]
47395,91,413,122,12,"[104, 112]",[]
45101,87,816,185,17,"[167, 175]",[]
44423,86,1644,144,15,[],[]
14763,31,320,140,10,[],[]
3848,11,780,135,12,[],[]
16146,34,2697,170,11,"[30, 37, 44, 79, 86, 93]",[]
26103,52,442,164,12,"[120, 128, 145, 153]",[]
6189,16,30,113,14,"[95, 103]",[]
31347,62,1423,140,14,[],[]
16255,34,3383,111,12,"[31, 37, 66, 72, 92, 98]",[]
25660,51,726,233,13,"[177, 183, 216, 224]",[]
21049,43,1624,125,11,"[95, 104, 113]",[]
24950,50,155,117,12,"[99, 107]",[]
38319,75,185,227,13,[],[]
33472,66,150,368,15,[],[]
40867,8,1413,240,13,"[101, 109, 128, 138]",[20]
8074,2,1374,351,16,"[266, 274, 291, 299, 329, 339]",[]
9482,22,134,259,15,"[242, 250]",[139]
37072,72,2757,824,16,"[113, 119, 185, 191, 239, 245, 330, 337, 344, 427, 434, 441, 506, 513, 520, 589, 598, 607, 690, 699, 708, 769, 778, 787]",[]
10951,25,1074,223,18,[],[]
39455,77,1610,189,19,"[154, 161, 168]",[]
50072,96,845,310,17,"[149, 157, 204, 212, 238, 246, 269, 277, 292, 298]",[]
24841,50,1052,151,13,"[135, 143]",[]
50894,98,241,155,20,[],[]
30719,60,73,247,16,"[205, 218, 231]",[]
17727,37,519,186,13,"[160, 167]",[]
8389,2,91,284,14,"[185, 193, 208, 214, 264, 272]",[]
6657,17,2,166,15,[],[]
40654,79,5963,195,16,"[89, 95, 160, 177]",[]
279,1,2117,161,13,"[60, 70]",[]
33311,66,1072,349,14,[],[]
13299,29,608,226,15,"[208, 216]",[]
33623,66,311,391,11,[],[]
10181,23,45,161,16,[],[]
36922,72,1952,291,16,"[241, 256, 271]",[]
11604,26,342,104,14,[],[]
10998,25,1164,131,15,[],[]
49725,96,120,283,15,"[141, 149, 189, 197, 237, 245, 260, 266]",[]
21410,44,1135,244,13,"[224, 233]",[]
19645,40,2783,148,16,"[134, 140]",[]
10690,24,2571,250,12,"[188, 196, 233, 241]",[]
35529,7,354,240,14,"[125, 133, 148, 154, 191, 199, 223, 229]",[]
1638,101,241,172,19,[],[]
40144,78,723,292,17,[],[189]
12586,28,182,139,14,"[96, 102, 119, 125]",[]
46368,9,1559,308,16,"[292, 300]",[]
27241,54,793,126,16,[],[]
50110,96,919,204,17,[],[]
33651,66,389,168,12,"[146, 156]",[]
17961,38,129,170,14,"[135, 141]",[]
11718,26,574,158,12,"[134, 142]",[]
11442,26,1119,123,13,"[105, 113]",[]
2782,103,555,273,13,"[237, 248, 259]",[]
16190,34,2961,147,10,"[38, 45, 52, 80, 87, 94]",[]
36000,70,318,272,18,"[258, 264]",[]
29994,6,2351,147,18,[],[]
44664,86,915,176,18,[],[]
22443,46,1744,333,15,"[115, 127, 168, 182, 240, 254, 304, 314]",[]
7351,18,692,325,16,[],[]
42772,83,1478,245,15,"[117, 125]",[]
11581,26,278,68,11,[],[]
8504,20,1212,107,10,[],[]
5180,14,1556,348,16,[],[]
41880,81,1566,290,17,"[231, 241, 269, 279]",[]
50543,97,3781,85,10,"[61, 67]",[]
21338,43,952,152,16,"[126, 133, 140]",[]
29075,58,438,188,19,[],[]
32054,63,1988,299,13,"[241, 251, 274, 286]",[]
23207,47,4727,171,11,"[119, 126, 146, 158]",[]
25340,51,104,796,17,"[140, 146, 188, 201, 214, 340, 346, 393, 411, 429, 447, 590, 596, 648, 671, 694, 717, 740]",[]
36940,72,2063,696,17,"[671, 678, 685]",[]
43603,84,4047,116,10,"[90, 97, 104]",[]
4038,12,1190,145,15,"[126, 132]",[]
24652,5,619,213,12,[],[]
11168,25,370,189,11,[],[]
26285,52,6084,171,10,"[105, 113, 148, 158]",[]
44059,85,335,160,13,[],[]
45468,88,236,178,19,"[79, 87]",[]
45068,87,745,161,14,"[143, 151]",[]
43999,85,2270,316,19,[],[]
3245,104,225,106,10,"[26, 32]",[]
22009,45,2209,67,12,"[52, 58]",[]
39128,76,625,95,11,[],[]
42457,82,224,159,13,"[124, 130, 144, 150]",[]
17562,37,1723,203,15,"[160, 170]",[]
41312,80,1271,493,12,"[170, 176]",[]
17915,38,1166,250,14,"[225, 235]",[]
13415,3,114,140,14,[],[]
45369,88,153,133,13,[],[]
50261,97,1927,271,8,"[157, 163, 176, 182, 195, 201, 214, 220, 233, 239, 252, 258]",[]
44002,85,2308,189,20,[],[]
6847,17,745,179,17,[],[]
5945,15,886,136,13,"[122, 128]",[]
19748,40,3046,240,16,"[77, 83]",[]
23935,49,1220,165,18,"[138, 148]",[]
10170,23,424,74,9,[],[]
39230,76,976,280,13,"[249, 256, 263]",[]
36459,71,1922,413,12,[],[]
12160,27,1989,257,16,"[91, 97, 147, 154, 161, 192, 201, 210, 219, 228]",[]
13596,3,2048,110,12,[],[]
36285,71,1054,296,14,[],[]
25995,52,2824,161,13,"[109, 117, 144, 152]",[]
51616,99,878,126,11,[],[]
12480,28,1394,140,12,"[81, 89, 120, 128]",[]
132,1,1544,155,12,"[59, 69]",[]
48772,94,1579,231,13,"[176, 185, 206, 217]",[]
15889,34,1069,150,14,"[65, 72, 79, 115, 122, 129]",[]
36764,71,970,427,24,[],[]
7292,18,47,323,13,[],[]
21755,44,815,181,14,"[163, 171]",[]
6810,17,655,138,16,[],[]
4601,13,1433,148,11,"[60, 68, 129, 137]",[]
9735,22,619,195,15,"[178, 186]",[80]
27072,54,184,106,14,"[91, 97]",[]
47551,91,800,113,11,"[101, 107]",[]
2123,102,1338,712,14,"[405, 416, 427, 450, 461, 472, 514, 525, 536, 559, 570, 581, 611, 622, 633, 656, 667, 678]","[101, 237]"
18255,38,631,145,14,"[131, 137]",[]
3363,104,647,131,11,[],[]
49928,96,488,349,14,"[81, 89, 248, 256, 293, 303, 324, 334]",[]
17898,38,1121,141,13,"[123, 132]",[]
49765,96,1277,266,12,"[122, 128, 150, 158, 180, 188, 215, 223, 242, 252]",[]
10221,23,576,109,11,[],[]
769,10,2098,173,14,"[159, 165]",[]
41470,80,39,469,14,"[457, 463]",[]
43859,85,1713,192,15,[],[]
28659,57,3185,181,12,[],[]
3637,11,332,527,21,"[513, 519]",[]
10853,24,767,243,15,[],[]
13746,3,289,124,11,[],[]
31262,61,920,126,11,"[106, 116]",[]
49175,95,1075,183,10,[],[]
48256,93,1289,104,8,[],[]
28719,57,423,286,14,"[80, 88, 107, 117, 152, 160, 179, 189, 224, 232, 251, 261]",[]
828,10,2303,185,12,"[167, 175]",[]
31225,61,830,121,11,"[64, 73]",[]
47413,91,450,132,10,"[78, 84, 117, 123]",[]
41570,80,640,261,12,[],[]
4665,13,1651,137,11,[],[]
11953,27,1234,273,14,"[111, 120, 129, 138, 147, 185, 191, 211, 224, 237]",[]
8287,2,690,697,38,"[599, 606, 613, 671, 681]",[]
25639,51,687,264,16,[],[]
26555,53,27,145,12,"[125, 133]",[]
1543,101,1121,262,20,[],[]
11846,26,857,71,12,[],[]
4112,12,139,193,12,"[100, 109]",[]
50504,97,3609,124,6,[],[]
46243,9,1204,339,13,[],[225]
9984,23,1128,234,14,"[174, 182, 217, 225]",[]
3176,104,1522,146,14,[],[]
32209,63,757,211,12,[],[]
16408,35,1276,182,13,[],[]
31024,61,26,97,10,[],[]
30180,6,3925,352,19,"[107, 113, 167, 173, 227, 233, 337, 343]",[]
16153,34,273,155,14,"[74, 81, 88, 122, 129, 136]",[]
36626,71,356,176,10,[],[]
43513,84,3452,181,10,"[157, 164, 171]",[]
40321,79,1838,213,16,"[195, 203]",[]
9256,21,350,303,14,"[241, 251, 282, 292]",[156]
45745,89,1153,123,11,[],[]
6572,17,1302,230,16,"[163, 171]",[]
50827,98,1956,265,14,"[129, 137, 173, 181, 241, 251]",[]
33750,66,712,328,12,[],[]
43137,83,5325,335,20,"[321, 327]",[]
10246,23,63,125,11,"[83, 91, 108, 116]",[]
40632,79,57,190,13,"[169, 179]",[]
22746,46,3455,378,17,"[134, 144, 175, 185, 216, 226, 257, 267, 304, 314, 351, 361]",[]
19876,41,1037,250,28,[],[]
20847,42,96,162,14,"[117, 125, 145, 153]",[]
19735,40,2992,220,16,"[203, 209]",[]
1996,102,1020,410,11,[],[]
2300,102,486,334,13,"[179, 187, 277, 285, 314, 322]","[98, 194]"
17064,36,1586,160,14,[],[]
4265,12,377,150,13,[],[]
13551,3,1915,116,11,[],[]
4390,12,807,132,16,[],[]
8430,20,1010,157,12,"[143, 149]",[]
2751,103,477,119,13,[],[]
35854,70,1140,191,12,"[179, 185]",[]
50070,96,842,232,11,"[77, 85, 186, 194, 209, 215]",[]
42169,81,878,247,14,"[195, 205, 226, 236]",[]
43306,84,1780,141,9,"[115, 122, 129]",[]
29459,59,1517,264,14,[],[]
11393,25,976,139,12,[],[]
32774,64,891,746,13,"[328, 366, 404, 442, 480, 518, 556, 594]",[173]
5472,15,1111,191,13,"[172, 178]",[]
5336,14,658,270,13,"[220, 235, 250]",[]
41558,80,611,626,19,"[568, 574]",[]
3437,104,933,340,12,[],[]
44526,86,39,320,18,"[164, 170, 226, 238, 303, 309]",[]
40604,79,5283,137,16,"[121, 129]",[]
39655,77,687,170,15,[],[]
25048,50,2023,403,13,[],[]
50204,97,1410,220,8,"[106, 112, 125, 131, 144, 150, 163, 169, 182, 188, 201, 207]",[]
3728,11,518,1027,31,"[65, 71, 96, 102, 129, 135, 164, 170, 201, 207, 240, 246, 281, 287, 324, 330, 369, 375, 416, 422, 465, 471, 516, 522, 541, 547, 572, 578, 605, 611, 640, 646, 677, 683, 716, 722, 757, 763, 800, 806, 845, 851, 892, 898, 941, 947, 992, 998]",[]
1765,101,524,213,20,[],[]
5903,15,642,226,19,"[212, 218]",[]
45408,88,1632,89,10,[],[]
35773,7,997,359,16,"[345, 351]",[]
37222,72,727,190,15,[],[]
2842,103,696,207,12,"[140, 147, 154, 177, 184, 191]",[]
14283,30,3265,95,14,[],[]
19989,41,153,174,25,[],[]
27512,55,1641,282,18,[],[]
26798,53,953,216,12,"[166, 174, 193, 203]",[]
13351,29,836,163,11,"[145, 153]",[]
37391,73,1579,297,13,"[214, 228, 242, 256]",[]
26700,53,644,197,12,"[144, 153, 174, 185]",[]
8936,21,1040,298,12,[],[72]
35922,70,1288,146,14,[],[]
25908,52,1715,210,12,"[94, 104, 138, 148, 173, 187]",[]
1789,101,58,186,16,[],[]
50501,97,3601,112,9,[],[]
15375,32,985,338,15,"[130, 138, 276, 284]",[]
32064,63,2012,427,15,"[375, 385, 406, 416]",[]
13598,3,2059,142,13,[],[]
7031,18,1378,356,13,[],[]
17626,37,1935,192,14,"[140, 148]",[]
50557,97,389,220,9,"[176, 184, 201, 209]",[]
9344,21,70,197,11,"[177, 185]",[]
30197,6,4038,137,15,"[125, 131]",[]
44948,87,452,166,14,"[152, 158]",[]
32180,63,631,368,14,"[314, 324, 345, 355]",[]
41226,80,1027,312,15,[],[]
7673,19,2640,245,12,"[139, 145, 161, 169, 198, 204, 222, 232]",[]
40571,79,4891,57,11,[],[]
40882,8,1450,227,10,"[141, 149, 178, 186, 205, 215]",[]
38016,74,257,292,12,"[130, 137, 152, 159]",[]
1448,100,782,175,12,"[137, 148, 159]",[]
37433,73,1805,176,15,[],[]
16551,35,1915,232,16,"[193, 200, 207]",[]
9877,22,908,193,17,"[179, 185]",[]
22217,45,455,137,15,"[125, 131]",[]
42713,83,1087,265,11,"[248, 254]",[]
33697,66,53,215,13,[],[]
49328,95,1458,140,10,[],[]
5251,14,378,248,16,[],[]
49317,95,1431,141,10,[],[]
30923,61,1431,83,13,[],[]
39072,76,423,199,12,"[167, 174, 181]",[]
2018,102,1076,337,13,"[249, 257, 286, 294, 313, 323]","[109, 169]"
3711,11,489,144,11,"[130, 136]",[]
6774,17,571,197,15,[],[]
1580,101,1196,304,16,"[238, 252, 266, 280]",[]
50663,98,1100,143,14,[],[]
5047,14,1218,292,12,"[137, 152, 167]",[]
33903,67,1586,111,13,[],[]
19377,40,1108,236,15,"[224, 230]",[]
6691,17,274,254,14,[],[]
46910,90,2106,173,11,[],[]
47841,92,1425,303,18,[],[]
37485,73,2037,198,13,[],[]
22499,46,2071,265,14,[],[]
30586,60,285,195,14,"[145, 158, 171]",[]
6937,17,98,254,15,[],[]
9718,22,595,234,12,"[215, 221]",[]
21596,44,35,211,12,"[165, 172, 196, 202]",[]
37209,72,663,250,15,[],[]
14790,31,493,478,10,"[271, 294, 317, 340, 363, 386, 409]",[]
15376,32,991,309,16,[],[]
28125,56,2801,163,12,"[147, 155]",[]
18646,39,2164,214,10,"[172, 180, 188, 196]",[]
47220,91,1137,77,9,[],[]
38900,76,161,244,10,"[218, 225, 232]",[]
45982,89,325,113,10,[],[]
2891,103,803,187,14,[],[]
46388,9,1581,251,11,"[188, 198, 228, 238]",[103]
47852,92,1447,343,16,"[317, 325]",[19]
47868,92,148,354,21,"[340, 346]",[]
42422,82,2105,180,13,"[166, 172]",[]
29718,59,741,276,18,[],[]
10268,23,717,173,15,"[143, 153]",[]
19589,40,2327,157,13,"[143, 149]",[]
43392,84,2617,165,9,"[138, 145, 152]",[]
29845,6,1279,180,15,[],[]
12667,28,2050,202,13,"[152, 160, 183, 191]",[]
8516,20,1261,212,16,"[153, 163, 190, 198]",[]
32471,64,2284,616,18,"[358, 384, 410, 436, 462, 488, 514, 540]",[192]
48042,92,622,321,19,"[305, 313]","[81, 81]"
20603,42,1810,121,13,[],[]
38667,75,89,230,10,[],[]
20914,43,119,149,11,"[111, 120, 129]",[]
45381,88,1556,84,11,[],[]
12407,28,1095,182,14,"[85, 91, 167, 173]",[]
16128,34,2605,105,12,[],[]
14462,31,1253,392,10,"[188, 211, 234, 257, 280, 303, 326]",[]
21154,43,295,169,11,"[78, 85, 92]",[]
10031,23,1238,120,9,"[63, 73, 103, 111]",[]
30718,60,728,193,14,"[92, 99, 106, 146, 155, 164]",[]
45702,89,102,112,11,[],[]
39966,78,1786,264,27,[],[]
1616,101,185,179,20,[],[]
19467,40,1625,175,11,"[118, 127]",[]
32196,63,695,250,15,[],[]
48065,92,696,419,16,"[407, 413]","[135, 135]"
50131,96,977,193,13,[],[]
46954,90,2343,110,9,[],[]
41909,81,1679,232,13,"[173, 183, 204, 214]",[]
18100,38,1696,158,13,"[144, 150]",[]
39041,76,335,302,12,"[278, 285, 292]",[59]
15628,33,2581,188,19,"[170, 178]",[]
25155,50,242,172,12,"[152, 162]",[]
7923,19,895,212,11,"[158, 166, 193, 201]",[]
18459,39,1435,325,11,"[263, 271, 288, 296, 311, 317]",[]
9056,21,1535,314,11,"[202, 210, 237, 250, 263, 287, 297]",[21]
20317,41,933,389,30,[],[]
7318,18,593,382,19,[],[]
6051,16,1219,152,13,[],[]
51513,99,310,249,12,"[175, 181, 194, 200, 213, 219, 232, 238]",[]
50064,96,833,307,16,"[48, 56, 122, 128, 235, 243, 262, 272, 289, 295]",[]
46206,9,1076,191,14,"[173, 181]",[]
1066,100,1478,220,12,"[95, 102, 109, 176, 183, 190]",[]
49689,96,1081,163,11,"[119, 126, 133, 147, 153]",[]
16356,34,889,181,16,"[78, 85, 92, 139, 146, 153]",[]
3512,11,1094,126,11,[],[]
34522,68,554,259,13,"[167, 177, 187, 197]",[]
12482,28,1402,207,14,"[166, 172, 192, 198]",[]
1762,101,519,178,16,[],[]
50596,97,692,198,9,"[86, 92, 105, 111, 124, 130, 143, 149, 162, 168, 181, 187]",[]
19521,40,1896,216,11,"[83, 96]",[]
3136,104,1406,147,11,"[131, 139]",[]
48939,94,2509,235,13,"[185, 193, 212, 222]",[]
44316,86,1345,249,14,"[67, 77, 107, 115, 157, 167, 199, 207]",[]
5503,15,1256,230,14,"[216, 222]",[]
38391,75,285,215,10,"[191, 198, 205]",[]
43111,83,5027,288,15,"[135, 143]",[]
463,1,856,101,11,[],[]
17031,36,1498,213,13,[],"[61, 126]"
10487,24,1502,245,11,[],[]
32350,64,1523,405,29,[],[214]
33071,65,585,136,13,[],[]
29499,59,1656,295,18,[],[]
38081,74,403,303,11,"[255, 263, 282, 292]",[]
5956,15,93,155,13,"[141, 147]",[]
51333,99,1979,187,10,"[113, 119, 132, 138, 151, 157, 170, 176]",[]
14390,30,99,109,10,"[95, 101]",[]
28325,57,1127,97,11,"[85, 91]",[]
44188,85,956,146,16,[],[]
26450,53,1574,148,11,"[95, 103, 129, 137]",[]
37155,72,442,203,14,[],[]
13831,3,481,121,14,[],[]
15794,33,405,144,12,"[130, 136]",[]
11845,26,856,123,10,"[109, 115]",[]
43944,85,2051,134,18,[],[]
23371,48,1103,261,18,[],[]
19064,4,194,148,17,"[123, 133]",[]
2768,103,521,137,16,[],[]
2106,102,1299,329,13,"[238, 246, 282, 292, 311, 319]","[103, 161]"
21266,43,671,149,12,"[57, 66, 75]",[]
18270,38,68,164,16,"[146, 152]",[]
39507,77,234,233,13,[],[]
18987,4,1610,188,18,"[160, 174]",[]
29909,6,1918,214,13,"[180, 186, 199, 205]",[]
5941,15,876,152,13,"[114, 132]",[]
6764,17,538,160,18,[],[]
46283,9,1294,265,14,[],[137]
37199,72,610,244,13,[],[]
312,1,224,109,13,[],[]
41863,81,1519,266,16,"[125, 135, 156, 166]",[]
